Project,Client,Description,Duration
SOS2122-32,,D01,05:00:00
SOS2122-32,,D02,04:30:00
SOS2122-32,,D03,06:00:00
SOS2122-32,,F03,03:03:24
SOS2122-32,,F04,03:00:00
SOS2122-32,,F04 milestone,03:49:19
SOS2122-32,,F05,10:03:59
SOS2122-32,,F06,09:30:00
SOS2122-32,,F07,12:41:00
SOS2122-32,,F08,09:14:00
SOS2122-32,,F09,09:23:00
SOS2122-32,,Finalizacion proyecto,05:00:00
SOS2122-32,,Issue F04,03:01:00
SOS2122-32,,Issues Rafael Molino,00:07:30
SOS2122-32,,Tarea 5 (F03),00:40:00
SOS2122-32,,Tareas restantes (F03),02:50:00
SOS2122-32,,Issue Javier Hidalgo,00:27:55
,,,00:00:05
